matrix,ELL,FLAT_core,HYB_coo,HYB_ell,LINE,S-V-ADAPTIVE_scalar,S-V-ADAPTIVE_vector,SCALAR
ASIC_680k,21.16,42.51,26.73,21.18,41.17,35.98,9.34,41.37
amazon0302,N/A,9.78,3.18,303.09,8.75,9.87,0.33,8.76
cage13,144.49,68.17,7.33,144.48,66.33,68.32,1.21,67.64
cit-Patents,194.55,253.77,108.72,194.63,243.92,292.16,7.82,277.86
crankseg_2,1771.63,116.14,18.12,1771.61,115.69,N/A,116.07,136.81
parabolic_fem,34.73,38.87,N/A,34.77,36.76,39.07,N/A,36.89
poisson3Da,12.11,2.99,0.90,12.18,2.94,2.22,0.85,2.94
roadNet-CA,126.49,59.80,23.99,126.49,52.40,60.56,N/A,52.45
thermal2,123.02,92.83,13.11,123.00,87.58,92.79,N/A,87.72
webbase-1M,22.49,39.98,18.00,22.49,36.66,35.27,6.62,37.28
