matrix       , nrows  , ncols  , nnz     , avg_nnz_row, ACC     , ELL     , FLAT    , HYB     , LINE    , S-V-ADAPTIVE, SCALAR  , cuSPARSE
ASIC_680k    ,  682862,  682862,  3871773,        5.67, 211.8887, N/A     , 211.0152,  27.9229,  14.5978,      21.6397,   1.3842, 504.2251
amazon0302   ,  262111,  262111,   823251,        3.14, 283.0036, 782.3533,  73.1234, 345.8679, 357.5347,     288.6517, 286.3291, 244.9925
cage13       ,  445315,  445315,  7479343,       16.8 , 266.2740, 765.5877, 278.6897, 655.3311, 490.3015,     440.9035, 447.4894, 538.2283
cit-Patents  , 3774768, 3774768, 11012632,        2.92, 207.0623, N/A     , 207.6847, 276.1541, 242.1407,     239.2269, 222.9383, 232.5617
crankseg_2   ,   63838,   63838, 14148858,      221.64, 358.9705, 741.1295, 384.9772, 357.6305, 461.9786,     645.7585, 149.0911, 575.6573
parabolic_fem,  525825,  525825,  3674625,        6.99, 447.2237, 641.8763, 211.5294, 655.1850, 464.6858,     512.4067, 577.6051, 471.9179
poisson3Da   ,   13514,   13514,   352762,       26.1 , 153.6279, 575.5975,  28.9258, 181.7224, 139.2414,     146.5964, 125.9433, 160.1276
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, 456.2769, 730.8837, 256.9273, 479.7579, 456.9595,     509.7473, 486.3224, 469.7346
thermal2     , 1228045, 1228045,  8580313,        6.99, 506.6571, 687.2152, 309.8067, 528.5929, 452.1087,     462.3653, 363.2444, 473.5652
webbase-1M   , 1000005, 1000005,  3105536,        3.11, 218.2826, N/A     , 203.9594, 149.8877,  37.3164,     372.4632,  55.6402, 466.3145
