matrix       , nrows  , ncols  , nnz     , avg_nnz_row, ACC        , ELL        , FLAT       , HYB        , LINE       , S-V-ADAPTIVE, SCALAR     , cuSPARSE
ASIC_680k    ,  682862,  682862,  3871773,        5.67, 0.000000344, N/A        , 0.000000372, 0.000059605, 0.101830959,  0.044079065, 0.373291016, 0.000000542
amazon0302   ,  262111,  262111,   823251,        3.14, 0.000000318, 0.000001103, 0.000000258, 0.000000266, 0.000000257,  0.000000344, 0.000000286, 0.000000236
cage13       ,  445315,  445315,  7479343,       16.8 , 0.000001123, 0.000001907, 0.000001099, 0.000000560, 0.000001203,  0.000003194, 0.000005700, 0.000000716
cit-Patents  , 3774768, 3774768, 11012632,        2.92, 0.000000685, N/A        , 0.000000685, 0.000001431, 0.000001460,  0.000000924, 0.000002146, 0.000001788
crankseg_2   ,   63838,   63838, 14148858,      221.64, 0.000001241, 0.001332283, 0.000001552, 0.000033334, 0.000002507,  0.000000257, 0.000002980, 0.000001691
parabolic_fem,  525825,  525825,  3674625,        6.99, 0.000000561, 0.000000252, 0.000000412, 0.000000250, 0.000000628,  0.000001759, 0.000000958, 0.000000586
poisson3Da   ,   13514,   13514,   352762,       26.1 , 0.000000155, 0.000000241, 0.000000232, 0.000000220, 0.000000151,  0.000000191, 0.000000128, 0.000000167
roadNet-CA   , 1971281, 1971281,  3688810,        1.87, 0.000000280, 0.000002710, 0.000000318, 0.000000348, 0.000000305,  0.000000205, 0.000000232, 0.000000760
thermal2     , 1228045, 1228045,  8580313,        6.99, 0.000001363, 0.000000333, 0.000000609, 0.000000920, 0.000001226,  0.000000555, 0.000000745, 0.000000950
webbase-1M   , 1000005, 1000005,  3105536,        3.11, 0.000000190, N/A        , 0.000000273, 0.000008695, 0.000000894,  0.000000760, 0.000018358, 0.000000499
